EarthRef.org -- GERM Reservoir Database
Database development and maintenance by the PACER Team

DATA:
Reservoir	Z	Element	Value	Median	SD	Low	High	N	Unit	Reference	Computation	Notes	Inserted
Carbonaceous Chondrites		Al/Mg	.105		.01					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Al/Sc	.15		.009					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Al/Ti	19.9		1.3					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Al/Yb	5.44		.35					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Ca/Al	1.07		.06					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Ca/Sc	.16		.009					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Ca/Ti	21.1		1.1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Ca/Yb	5.86		.27					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Cr/Mn	2.2		.5					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Cr/V	40		3					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Fe/Al	16.2		2.4					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Fe/Cr	66		5					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Fe/Mg	1.68		.12					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Fe/Ni	18.1		1.4					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Mg/Cr	39		2					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Mg/Si	.91		.04					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Mg/V	.157		.009					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Na/K	10.7		2.1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Os/Ir	1.07		.04					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Sc/Yb	36.4		1.8					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Sm/Yb	.89		.04					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
Carbonaceous Chondrites		Ti/Sc	75		6					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including CI, CM, CO, CV and CK.	23-FEB-1999
CI Chondrites	47	Ag	210						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
